[66, -57, 30, -33, -97, 23, 94, -73, -21, -22, -55, -58, 55, -87, -37, -7, 31, 36, 72, -82, -95, 0, 80, -86, 56, 47, 63, -29, 14, -30, -24, -64, -84, 81, -42, -30, 98, 18, -90, 94, -66, -26, 90, -29, 82, 100, 54, -74, -49, 13, 79, 37, 67, 8, -92, 62, -42, 10, -5, -70, -44, -18, -66, -66, 42, -4, -75, 67, -85, 51, 2, -51, -53, 53, 35, 22, 72, 32, -62, 19, -12, -9, -92, -75, 46, -76, 47, 8, -93, -68, 47, -45, 10, 95, 10, -21, -53, -35, -77, -8]
[-25, -96, 80, 46, -82, 16, 33, -21, 10, -53, -17, 27, -87, -35, 74, -93, 95, -44, -74, 27, 38, -32, -46, -42, 8, -89, 84, -31, 57, -53, 96, 49, -81, -87, 30, -62, -24, -49, -58, -89, 74, -25, -68, -95, -80, -84, 38, -81, 16, 1, 10, -90, -59, -44, -21, -23, -59, -64, 61, 55, 80, -29, 53, 51, 55, 68, 4, 98, -17, 67, -44, -53, 0, -75, 54, 35, -23, 4, -99, -85, 52, -56, -59, 76, 7, 89, 75, 65, 4, 34, -22, -14, -39, -70, 99, -89, 61, -68, 71, -33]
[73, -1, 66, -90, 52, -21, 33, 69, 63, -92, 73, -48, -45, 99, 10, 1, -23, -77, 17, -40, 58, -5, 81, 53, -61, -90, 84, -18, 67, 52, -92, 98, 66, -63, 79, 69, 96, -37, 58, 8, 31, -17, 38, -96, -12, -95, 97, -38, -50, -63, 46, -21, -97, 33, 22, 67, -61, -48, 81, -80, 83, -52, -45, -6, -52, -65, -50, -43, 49, 20, 42, 11, 81, -59, 6, 75, 58, 24, -8, -46, 64, 54, -60, -56, 48, -16, 85, -27, 3, 35, -25, 61, -97, -57, -76, -38, -72, 54, -69, 10]
[-55, 81, 13, -70, 1, -65, 86, 57, 29, 21, -79, -44, -32, -77, 28, 32, 29, 55, 30, -43, 15, 22, 73, 54, 75, 93, 0, 53, -89, -62, 45, 45, -26, -14, -44, 92, -58, 68, -56, 16, 54, 62, 12, -45, -27, 13, 93, 37, 2, 18, 49, 32, -98, -46, -59, 2, 81, -74, -85, -16, -26, -73, 59, -33, 78, 32, -12, -78, 37, 35, 83, -54, 97, -12, 81, -46, -91, 41, 71, -87, -37, 73, 47, -85, 17, -48, 60, 34, -19, 60, 63, 36, 18, -20, 48, 93, -68, -99, -53, 13]
[81, 91, 94, 49, -46, -84, 2, -35, -49, -80, -35, -48, -61, 89, 43, 56, -66, 21, 26, 86, 35, -32, 35, -1, 69, -91, -8, -38, -27, -23, -50, 43, 72, -40, 85, -4, 94, -19, -97, 89, 42, 43, -23, -21, -76, 0, 60, -96, 27, 15, -80, 96, 95, -41, -95, 74, -26, -92, -90, 47, 10, 97, 63, 88, 93, 41, -59, 33, 50, 10, -14, -80, 72, -79, -89, -54, 75, -23, -93, 68, 89, 96, -57, 9, 55, -37, -32, -81, -90, -27, 14, 87, -93, -70, 26, 8, 32, -1, 36, 34]
[23, -51, -40, -45, -70, 27, -28, -85, 71, -87, -23, 61, -77, -21, 56, -26, 75, 48, -47, -22, 34, 76, -39, -54, 67, 59, -99, 26, -25, -46, 17, 7, -94, -46, 18, -34, 42, -87, 44, 16, -48, 77, -46, -4, 41, -99, -46, 54, -22, -32, -52, -32, -3, -58, -83, -88, 72, -8, -75, -71, 1, 71, -73, -72, 55, -22, -22, -26, 82, -85, -9, 21, 87, 99, -71, 94, 58, 29, 38, -24, -89, 19, 24, -25, 92, 67, -73, -64, 41, -48, 43, 80, 100, -89, -68, -37, 27, 31, -35, -23]
[47, -44, -43, -97, 97, -99, 100, 82, 85, 57, 12, -46, -85, 2, 6, -67, 52, 95, 4, -20, 48, -81, -84, -2, 45, 61, 0, 76, -70, -52, 12, -88, -41, 93, 80, -54, 36, 3, 80, -56, -14, -29, -62, 70, 56, 20, -31, -58, -41, -75, 40, 36, 84, -94, -69, -52, -50, -25, 18, 50, 70, -45, 8, -13, 97, 46, -59, 93, 76, -54, -4, 21, -36, 91, 25, 84, 50, 88, 67, 48, -61, -56, 50, -10, 41, 75, -82, 13, 31, 82, -24, -63, -92, 85, -85, 7, 4, 49, 26, 37]
[33, -16, -35, -52, -11, -27, -19, -60, -53, 93, -30, -32, 45, 94, -68, 64, -67, -85, -12, -95, -55, -8, 79, 14, -28, -89, -41, 77, 39, -94, 54, -78, -3, -76, 91, 98, 77, -53, 69, 19, 85, 0, 10, 47, 70, -19, 67, 44, -38, -2, -9, -86, 28, -81, -9, 63, -32, 1, 19, 90, 44, 91, -77, 6, -10, 62, -37, 98, 95, -54, -39, 40, 38, 33, -6, -12, 25, 87, -100, -59, -75, 99, -86, -93, 21, 99, 12, -72, 51, -84, 34, -76, 44, 74, 79, -55, 16, -7, 21, 21]
[99, 15, -38, -32, 62, 20, -15, 77, -74, -22, 88, -10, -88, 44, -72, 10, -38, -60, 31, 86, -11, -83, 24, -70, 32, 2, 62, 45, 5, 85, 68, -95, -35, -62, 77, 76, -17, -73, -82, 53, 37, -83, 12, -87, -1, -92, 7, 94, -55, -80, -32, 50, -14, 80, 97, -26, -75, 42, 40, 41, -69, -98, 93, 73, -76, 46, -72, -95, -44, -62, -53, 76, 67, 99, 28, -92, -3, -94, 66, -39, 57, 36, 92, 55, 82, -71, -48, 83, 2, -38, -36, 95, 76, -45, 7, -74, 90, 17, 31, -48]
[75, 84, 20, -73, 84, 96, 55, 95, 69, 17, 51, 58, 3, -96, 10, 14, 59, -54, -42, -60, 91, -58, 39, -77, 75, -75, 54, 45, -16, 67, 13, 49, 30, 36, 63, -70, -31, -1, -13, 63, 11, 94, -36, 25, -69, 6, -5, -40, 21, 96, -40, -62, 31, 98, -43, 51, -81, -59, -30, 44, 52, 51, 98, 38, -27, -86, 52, 18, -92, 21, -52, -98, 19, -13, -84, 64, 33, 30, -73, -48, -47, 82, 95, 98, -98, 75, -27, -45, 28, 66, -89, -12, 33, 54, 34, -62, 6, 69, 5, -89]
