[42, 61, -70, 0, -52, -9, 1, 25, 96, -94, 73, -57, -20, -51, 45, 32, 43, 76, 96, -9, -38, -66, -6, -21, 93, -65, -58, -57, 95, -73, -68, 73, 100, 85, 63, -8, 36, 28, 64, 93, 18, -97, 62, 36, -16, -28, 42, 83, -26, 21, 64, -41, -92, 6, -15, 25, 26, 39, 84, 53, -97, -96, -90, -87, -14, 20, 35, 35, 36, -13, 55, 96, 53, -100, 69, -34, 50, -71, -88, 67, 93, -49, -6, -95, -96, 64, -68, -49, 37, 27, 46, 42, 27, 63, -90, 35, -42, -53, 29, 9, 42, 96, -40, -99, -48, 11, 49, 78, -25, -59, 3, 68, 91, 2, 77, 29, -34, 97, 77, 88, -15, 82, 98, 9, -81, 100, -45, 30, -51, -67, 62, -24, 41, 6, 6, -14, -13, 15, 8, 95, 35, 8, -94, 35, 50, 78, 84, -13, -2, 16, 7, 27, 62, 78, -71, -31, 31, -19, 12, -6, 6, -74, -89, 29, -10, 94, -100, 73, -4, -51, 0, 78, 70, -28, -40, 17, 13, 13, -57, -94, 24, -92, -69, 41, -85, -50, -18, 95, -80, -100, -69, 71, -25, -29, -84, 56, -64, 54, -94, 80]
[52, -28, -8, -41, -15, 86, -31, -15, -76, 93, 24, 42, -37, -100, 87, -80, -22, 17, 11, -25, -3, -70, 92, -32, -100, 33, -91, 53, 51, -86, -19, 85, -35, 39, -85, 69, 32, 53, 13, 5, -82, -25, 95, 92, -78, 6, 28, -58, 11, -32, 98, 55, -53, -40, 13, -56, -43, 20, -11, 94, 47, 91, -20, -20, -83, -98, -31, -26, 28, 85, -47, 45, -36, 19, 40, 67, 95, 43, 26, 72, 75, 27, 85, 81, -22, -74, 11, -7, -37, -58, 13, -95, -13, 67, 12, 89, 40, 42, -88, 28, 15, -95, -29, -49, -44, -10, -77, -15, 28, 81, 31, 63, 6, -89, -89, -14, -8, 66, -53, 5, 12, -56, 53, -72, 6, 85, 6, 74, 51, 1, 7, -10, -37, 33, 71, -89, -42, -83, 3, 52, 69, 45, 32, -31, -72, 49, -8, -4, 44, -72, -39, -85, -90, 19, 60, 62, -69, -27, -67, 53, -47, -22, -36, -49, 13, -42, -19, 72, -96, 51, -13, -99, -15, -83, 47, 70, -91, -16, -70, -55, 69, -2, -93, -56, -16, 0, -19, 1, 9, 14, 57, -67, 18, -48, -85, -84, 29, -94, 19, -56]
[33, -83, 21, -61, 57, 48, -20, -64, 7, 52, -25, 1, -47, -61, -71, 24, -99, -68, -11, -90, -23, 15, 98, -28, 6, -88, -59, -21, 81, 47, -24, 65, -76, 42, 81, 46, 83, -2, -91, -95, -84, -87, -51, 14, -69, -19, 37, 9, -8, 24, -96, 78, 97, 92, 28, 76, -100, 79, 29, -99, 2, -88, -2, 16, -98, 30, 27, 89, -25, -24, 64, 58, 41, -28, -13, 22, 31, -16, 60, 99, -60, 6, -70, -40, -27, 91, -34, -61, -36, -58, 64, 44, -62, 69, 93, -43, -93, -66, 49, 12, 27, -42, -69, -55, -9, 33, 65, 7, -7, 70, -68, 5, 18, -43, 27, -91, 11, -64, -16, 44, -14, -12, -22, -87, 68, -89, -13, -66, 28, 51, -1, -72, -63, 100, 88, 64, 22, -53, -21, 6, 72, 28, -7, -92, -34, 6, 87, -31, 90, -69, 81, 51, 70, -95, -31, -7, 34, 60, -1, -11, -11, 26, -12, 82, 61, -24, -87, 3, 92, -20, -27, -34, -45, 27, 93, -54, 17, 98, -88, 26, -56, 82, 86, 4, 98, -4, -67, -4, -12, 14, -25, -60, 68, 22, -55, -31, -72, 23, -76, 35]
[-23, -97, 67, -17, -52, 96, 39, -61, -33, 10, -92, -27, 2, -70, -52, 58, -33, -89, -14, 88, 2, -60, -35, -17, -63, 62, 72, 87, -98, -80, 15, 19, 54, 76, 1, 17, 37, 92, -100, -60, -21, 82, 77, -90, -79, 69, -38, 56, -50, 5, -25, -66, 78, 36, -26, 47, -31, -43, 36, -75, 68, -72, -48, -86, 88, -9, -53, 86, 50, 55, -84, -1, 99, 88, 83, 49, -83, 88, 9, -97, 65, -28, 33, -9, -16, -50, -45, -66, 98, 62, -8, 48, -19, 44, 4, -93, -88, -18, 38, -90, -22, -37, 98, -38, -38, -87, -88, 31, -63, 27, 99, -50, -16, 9, -49, 21, 60, 17, -35, 74, -68, 0, -69, 56, 57, 20, -55, 99, 65, -97, -68, 10, 15, 2, 53, -63, -92, 99, -22, 26, -39, -69, -98, -27, -21, 90, -69, -61, 6, -65, 94, -86, -99, 72, 79, -49, 3, -63, 33, -89, 41, -59, -66, -81, 65, 87, 64, 94, -89, 69, -55, -64, 48, 14, 3, 54, -43, -5, -61, 37, -68, 78, -13, -77, -46, 32, 52, 34, 79, -30, -55, -56, 69, 54, -59, 98, 65, -60, 31, -9]
[86, -52, 66, -96, 2, -92, 30, -34, 93, 32, -38, 77, -74, -25, -35, 35, 18, 75, -41, 41, 28, -23, -50, -95, -89, -2, 21, 87, -54, -26, 25, -72, 69, -21, -70, -79, 77, -95, 59, 47, 66, -3, -20, 30, -99, 73, 2, -93, -23, 55, -71, 70, -86, 58, 41, 74, 4, -8, 5, -5, -27, -76, 46, 46, -19, 70, 48, -55, 17, -73, -36, 56, -9, 63, 73, 32, 23, -93, 58, -86, -5, -15, 8, -53, 76, 88, 23, -91, 44, -34, 23, 28, 59, -100, 88, 4, -65, 1, -41, -34, -55, -49, -29, 63, 1, 31, -66, 13, 97, 7, 18, -36, 49, -74, -14, 80, -21, 3, -86, 17, 99, -8, 61, -7, 0, 21, 57, 95, -53, 54, -23, 17, 17, 47, 60, -29, -14, -72, -56, -55, -73, -88, 90, -55, -22, 19, -74, -84, 46, -4, -47, -80, 79, 29, 17, -11, 85, 51, -20, 88, -59, -33, -89, -81, 80, -38, -21, 95, -73, 12, -81, 24, -7, 68, 19, -52, -69, 10, 4, -44, 14, -43, -10, 11, 7, 84, 81, -97, 52, 29, -71, 0, -24, 95, 99, 39, 66, 64, 99, 48]
[-99, -33, 83, -98, -50, -66, 58, 1, -87, 14, -33, 91, -18, -36, -34, -51, -62, 79, -54, -59, -56, 13, 95, -43, -50, 39, -73, 37, -1, 2, 100, 67, -98, 51, -40, 99, -94, -49, 87, -18, -39, 25, 67, 12, 84, 42, -65, -98, 61, 24, 55, 100, -80, 19, 51, -10, -88, 43, 65, 98, 83, -90, -52, -75, 15, 19, -67, 52, -5, -67, 13, -59, -85, -94, -4, 4, -21, 1, 81, -45, 98, -8, -16, 22, -82, -57, -37, -89, 13, -77, 40, -76, -51, -14, 77, -7, -100, 62, -90, -10, 65, 89, -22, 29, -98, 55, 97, 54, 61, -50, 66, 47, 61, 12, 61, 94, -89, -13, -32, -67, 82, 56, 43, 18, 46, 60, -100, 49, -67, 17, -76, -41, -29, 61, -67, -33, 72, 30, -49, -43, -56, 17, -72, -14, -57, 57, -60, -63, -60, 28, 12, -84, -39, 92, -50, -18, -57, 49, 43, 37, 44, 62, 55, 25, 38, -52, -95, 4, -15, 53, -33, 46, 17, -5, 57, 24, -87, -73, -84, 92, -95, -41, -87, -68, 34, 3, 50, -71, 2, 74, -66, 95, -6, -74, -92, 7, 96, 13, -24, 5]
[-8, 45, -19, -5, 24, 12, -59, 22, -95, -77, 13, -52, 100, 37, 56, -75, 20, -82, 92, 32, -7, 52, 100, -17, 14, 93, 69, 52, -31, -10, 22, 75, -65, 84, 51, 25, -96, 5, -67, -2, -52, -51, 73, -78, -48, -36, -10, -7, 85, -14, -71, -12, 51, 77, -41, -83, -16, -66, -93, 84, -55, -36, -77, -7, -41, 78, 0, -86, 98, -70, 86, 42, -45, -73, 83, 79, 89, 43, -30, -32, 66, 45, 90, 97, -77, -24, 11, -62, 37, 27, -22, -69, 26, -59, -1, 67, 87, -17, -52, -7, 56, -14, 34, -86, -9, -38, -2, 67, 22, 80, -3, -69, -61, -61, 35, 67, -81, -28, -74, 0, -36, 18, 62, 74, -47, -76, 9, -90, -67, -61, 21, -41, 12, -35, 26, 52, 91, 8, 100, -54, 19, -25, 90, -89, 3, 43, -33, 78, -11, -68, 14, 42, 78, -33, 89, 83, -67, -22, 91, -95, -45, -43, -31, 8, 16, -70, -4, 96, 9, -15, -10, -68, -85, -29, 80, 40, -39, -81, -71, 15, -10, -14, 20, 43, 62, -64, 94, 9, -42, 77, -100, -95, 6, -9, 95, -21, -56, -90, -18, 96]
[25, 1, -75, -3, -17, -60, -2, 67, -11, 56, -44, -44, -58, 15, -4, 65, 57, 80, 66, -24, -44, 80, -72, 73, -92, -87, 15, -62, -83, -99, -66, 60, -21, 18, 6, -5, -15, 21, -65, -48, 54, -46, -11, 29, -66, -85, 21, 31, -98, 34, 75, -71, 43, -22, 47, 22, -62, 57, -57, 92, -69, 35, -5, 58, 88, 90, -64, -14, 58, 75, -76, -37, -40, -17, 66, 84, 30, -18, -26, -73, 53, -67, -97, -87, 7, -46, -12, -13, -90, 77, -40, -15, 65, 82, -21, -64, 25, 23, -62, -39, 0, -61, -46, 91, 17, -67, -28, 37, -58, 47, -53, 22, -4, -21, 27, 74, 9, 65, 61, 76, 58, -14, -57, -17, 69, -55, -92, -96, 31, -84, 58, 43, 43, -81, -57, 44, 31, -93, 81, -34, 97, -79, -1, 49, 82, -67, -9, -49, -46, -81, 94, 84, 22, -60, 48, -74, -48, 77, 23, 10, -98, -19, 19, 27, -34, 48, 27, 74, -96, -18, 21, -20, 32, 100, -8, 73, -47, 39, 83, 2, 80, -75, -35, -83, 58, -26, 31, -30, 96, 31, 7, 73, -47, 97, -29, 22, -24, -57, 24, 55]
[6, -46, -65, -68, -52, -96, 73, 67, -25, 47, -99, -24, 7, -59, -40, 61, 98, 98, 52, 97, 97, -26, 10, 6, 69, 14, -58, 19, -17, 48, 95, -84, 67, -43, 38, -7, 17, 75, 28, 7, 38, 44, 94, -26, 94, 12, 36, -89, 20, 7, -59, 7, 3, 31, -13, -27, -33, -21, 76, -36, 38, -13, 51, 44, 98, -36, -45, 63, 83, 58, -14, -62, 3, 10, 10, -55, -85, 73, -44, 17, -8, -39, -61, 37, 75, -30, 28, -95, 15, -33, 8, -54, 7, -43, 29, -95, 55, 6, -31, 32, -46, -54, 64, -91, 30, -60, 56, -92, -66, 15, -23, 92, 56, -26, -86, 7, -94, 71, -31, 62, 97, 84, -3, 54, 45, 65, -25, -28, -30, 74, -3, -4, -55, -29, 81, 99, 44, 27, 26, -13, 54, 45, 81, -77, -55, -83, 65, -13, 27, 6, -72, -25, -34, 64, 49, -67, 60, 9, 35, -40, -34, 14, 90, -15, 6, 47, -47, 7, 88, 65, -77, 42, -34, 37, -78, 23, 63, 50, -70, -31, 9, -66, 58, -25, 49, -6, -22, 66, 99, 30, -86, 26, 17, 64, -30, -25, -61, -41, -35, 12]
[-33, -98, -49, -13, 48, -71, -89, -88, -82, -28, -76, -31, 90, -52, -44, -73, -58, -15, -50, -90, -16, -16, 59, 62, -53, -4, 30, 21, -93, 0, 81, 64, 22, -48, -27, -19, 60, 8, -64, -25, -79, -83, 90, -43, 5, 30, -52, 3, 78, -76, -45, -61, 81, -22, 61, -65, 61, -94, -48, -1, -80, 90, 97, 18, 60, -18, -10, -88, -87, -65, -43, -52, 78, -27, 33, -70, 32, -8, 68, 52, -59, -60, -6, -80, 71, -78, 8, 47, 69, -35, 50, 60, 95, -26, -54, -42, -19, 20, 48, 46, 40, 87, -55, 17, -75, -12, -6, -54, -94, 89, -73, 46, -27, -62, 33, -92, 9, 23, -26, -99, -99, -10, 0, 5, 13, -82, 5, -52, 29, 60, -15, -48, -61, 18, 92, 35, -51, -15, 9, -53, 7, 12, 52, -99, -30, 43, 62, 17, -67, -54, -7, 54, 96, -46, -70, -35, 15, 25, -26, -98, -36, -50, 72, -77, -35, -95, 72, -7, -41, 54, -31, 87, 88, -25, 46, 59, 82, 84, -9, 8, -34, -14, -52, -34, -41, -37, 37, -65, 86, 57, 36, 47, 53, 39, -20, 15, -59, 87, 3, 4]
